,_id,mid,msg_type,cont,nfwd,sname,uid,r_mid,r_uid,pt,nlike
0,5eec92a5c5425e7e10b833ea,1261333535316533248,3,"RT @LondonBreed: Almost 1,000 people who were in shelters have been moved into hotels, and were continuing to move more homeless people in…",0,mat,11113,1261333390512418816,2927379996,1589560323000,-1
1,5eec9f0fc5425e7e10c5102a,1261405098816598016,3,"RT @stephaniemlee: SCOOP: I obtained a whistleblower complaint about Stanfords COVID-19 study.Turns out JetBlues founder, a critic of t…",0,mat,11113,1261404852053131264,15022464,1589577385000,-1
2,5eed6515c5425e7e10852c16,1262753319153352706,3,RT @MarkLevineNYC: It’s time to update the all-or-nothing messaging on Covid-19 risk.Let’s give people the tools to understand that the r…,0,mat,11113,1262719636036096002,17143007,1589898826000,-1
3,5eed78f2c5425e7e10993a60,1262849832542105600,1,"The state spent $2.75 million to purchase the app and is paying a monthly maintenance fee of $300,000. But as of Ma… https://t.co/uJ2aWhyzcP",0,mat,11113,,,1589921837000,-1
4,5eedb5a9c5425e7e10d62f6c,1263929051636355074,1,Tell Us: How Are You Expanding Your Quarantine Circle To Include More People? https://t.co/fChiNUCpnX via @marygeorgant,0,mat,11113,,,1590179143000,-1
5,5eee3784c5425e7e1055c654,1263584087979159554,3,RT @JaneLytv: Between a new piece of disinfo going viral and it being debunked is a data void — time when looking for good info doesn’t tur…,0,mat,11113,1263579159319638016,65284273,1590096897000,-1
6,5eee8ec9c5425e7e10ad1624,1263694040735690753,3,RT @RMac18: Something you dont see everyday: A Tesla factory worker goes on record to speak out on the conditions and lack of covid oversi…,0,mat,11113,1263690262091423746,47191293,1590123112000,-1
7,5eef0bd8c5425e7e102b58cc,1265453653453725698,1,“We’re surging:” Alabama reports largest COVID-19 increases to date - https://t.co/TOLUZUOMNa,0,mat,11113,,,1590542636000,-1
8,5eef2984c5425e7e10481777,1266582895642030082,3,RT @ceodonovan: Keshawna and Anthony have never been to a protest before but said they came out in Oakland tonight because “enough is enoug…,0,mat,11113,1266582802700464128,415798356,1590811868000,-1
9,5eef6501c5425e7e10821ec3,1265785948442226695,3,RT @ConMijente: WATCH LIVE HERE: https://t.co/f0Wj1wC071@RMac18s mom is watching. She should be so proud!#NoTechForICE,0,mat,11113,1265780456093450242,3282033720,1590621861000,-1
10,5eef9ed9c5425e7e10bc549e,1268216003550302208,2,"@pkafka Did you catch this story? (I do wonder if he had a false positive, because I would have thought it would ha… https://t.co/Ql3HfYzVw0",0,mat,11113,1268215557993660417,202003,1591201232000,-1
11,5ef00b5dc5425e7e10260dd5,1267502908657922050,1,Someone Who Attended That Crowded Lake Of The Ozarks Pool Party Has The Coronavirus https://t.co/octQS1r4DV via @davidmackau,0,mat,11113,,,1591031217000,-1
12,5ef2fa63b716d9bcd6954e76,1273664452110569474,3,RT @azeen: more on why 40+ scientists are calling for this study on face masks to be retracted (& why its important) here: https://t.co/gn…,0,mat,11113,1273660236042326016,256722290,1592500243000,-1
13,5ef79e0394cc9749b788ef28,1274185816672264193,3,RT @alexismadrigal: Today was the worst day for COVID-19 case numbers in more than a month. Major problems across the south and southwest.…,0,mat,11113,1274125106378227714,11107172,1592624546000,-1
14,5ef7b3af94cc9749b7a054c3,1274327053471449088,3,"RT @Bob_Wachter: 1/ Covid (@UCSF) Chronicles, Day 94Today, weekly round-up, w/ focus on new surge states & implications of steroid trial.…",0,mat,11113,1274181884591759361,239210681,1592658220000,-1
15,5efb8c79bc118387b4496e6e,1275910588867248128,3,RT @lauraolin: Even COVID has left New York for LA https://t.co/Yu3Hq0YmkZ,0,mat,11113,1275898010669588485,14069365,1593035764000,-1
16,5f033803ad8419c80387c3d9,1278078079768973312,3,RT @jeffbercovici: Alphabet made $34 billion in profit last year,0,mat,11113,1278077669620322304,59143038,1593552534000,-1
17,5f065ee473a45b80a4a9f087,1278376143733866498,1,Are TikTok’s Conservative Teen Stars Turning On Trump? https://t.co/kLShDBWCRI via @scaachi,0,mat,11113,,,1593623598000,-1
18,5f0a375e73a45b80a408f637,1280192693143064579,3,RT @RMac18: This is nuts. 188 of 216 temporary visa (H-2A) farm workers in Oxnard tested positive for COVID-19. Some were about to leave th…,0,mat,11113,1280183528638918656,47191293,1594056697000,-1
19,5f0b897c73a45b80a428de3c,1280297825579028481,3,RT @Haleaziz: More fallout of ICE policy -->,0,mat,11113,1280283009397088258,27052147,1594081763000,-1
20,5f0e57a8d5e08f9707a6f1c3,1282305781422063617,1,"Texas, California, And Florida Are Now Seeing A Sharp Rise In COVID-19 Deaths https://t.co/HjhiokOxag via @paldhous",0,mat,11113,,,1594560497000,-1
21,5f1245408d826d7b6264bd2a,1282716523593904128,1,"Oh hello there, Mick Mulvaney in February! Whats up?""We are the best country in the world prepared to do this...… https://t.co/yEflweIiYq",0,mat,11113,,,1594658425000,-1
22,5f124b688d826d7b6269f5dd,1282721670688657409,3,RT @kenbensinger: Fully 10% of Covid tests in LA county are now coming back positive; LA county has 54% of the states confirmed cases yet…,0,mat,11113,1282721498197716993,31280510,1594659652000,-1
23,5f13ade38d826d7b6275dd51,1284172745832640514,3,"RT @ceodonovan: Schools in Thailand, China, and Indonesia have disinfecting chambers, temperature screening, and COVID-19 tests. In the US?…",0,mat,11113,1284169152400289793,415798356,1595005616000,-1
24,5f13b1d48d826d7b62791542,1282760989465862144,1,Three Arizona Teachers Shared A Classroom. They All Got COVID-19 And One Died https://t.co/hcAjHAOC2U via @CraigSilverman,0,mat,11113,,,1594669027000,-1
25,5f13b27b8d826d7b62799f0d,1282760867784863744,3,RT @marygeorgant: Three Arizona Teachers Shared A Classroom. They All Got COVID-19 And One Died https://t.co/NLF11sWRW1 via @CraigSilverman,0,mat,11113,1282757050691395586,23498543,1594668998000,-1
26,5f13b6758d826d7b627ca1a5,1282785578845704197,3,"RT @MattHaneySF: If you need COVID-19 test right now, even with symptoms like high fever & you are an essential worker, wait time is about…",10,mat,11113,1282784898521067520,23169735,1594674889000,-1
27,5f1b881a86a1fcf5e04b93b8,1283430412874907648,3,"RT @Mr_Berman: Oklahoma’s governor, who has now tested positive for COVID-19 https://t.co/xo091CJHdA",0,mat,11113,1283427252487835650,245572815,1594828630000,-1
28,5f1cceac86a1fcf5e06a4ac6,1286734339464736769,3,RT @nichcarlson: New from @davelevinthal… Republican Party officials hid COVID-19 mask purchases by labeling them building maintenance…,0,mat,11113,1286695797321601024,9549942,1595616347000,-1
